operator_id,name,rarity,profession,branch,branch_id
char_197_poca,早露,6,狙击,攻城手,siegesniper
char_456_ash,灰烬,6,狙击,速射手,fastshot
char_1048_orchd2,焰狐龙梓兰,6,狙击,重射手,closerange
char_332_archet,空弦,6,狙击,速射手,fastshot
char_1035_wisdel,维什戴尔,6,狙击,投掷手,bombarder
char_103_angel,能天使,6,狙击,速射手,fastshot
char_4117_ray,莱伊,6,狙击,猎手,hunter
char_300_phenxi,菲亚梅塔,6,狙击,炮手,aoesniper
char_4193_lemuen,蕾缪安,6,狙击,神射手,longrange
char_430_fartth,远牙,6,狙击,神射手,longrange
char_391_rosmon,迷迭香,6,狙击,投掷手,bombarder
char_4055_bgsnow,鸿雪,6,狙击,重射手,closerange
char_340_shwaz,黑,6,狙击,重射手,closerange
char_2023_ling,令,6,辅助,召唤师,summoner
char_245_cello,塑心,6,辅助,巫役,ritualist
char_4212_nasti,娜斯提,6,辅助,工匠,craftsman
char_291_aglina,安洁莉娜,6,辅助,凝滞师,slower
char_1012_skadi2,浊心斯卡蒂,6,辅助,吟游者,bard
char_1031_slent2,淬羽赫默,6,辅助,护佑者,blessing
char_1047_halo2,溯光星源,6,辅助,凝滞师,slower
char_206_gnosis,灵知,6,辅助,削弱者,underminer
char_4195_radian,电弧,6,辅助,召唤师,summoner
char_4072_ironmn,白铁,6,辅助,工匠,craftsman
char_4202_haruka,遥,6,辅助,护佑者,blessing
char_1042_phatm2,酒神,6,辅助,巫役,ritualist
char_358_lisa,铃兰,6,辅助,凝滞师,slower
char_4134_cetsyr,魔王,6,辅助,吟游者,bard
char_248_mgllan,麦哲伦,6,辅助,召唤师,summoner
char_4182_oblvns,丰川祥子,6,近卫,领主,lord
char_4145_ulpia,乌尔比安,6,近卫,重剑手,crusher
char_4082_qiubai,仇白,6,近卫,领主,lord
char_4058_pepe,佩佩,6,近卫,撼地者,hammer
char_350_surtr,史尔特尔,6,近卫,术战者,artsfghter
char_1043_leizi2,司霆惊蛰,6,近卫,解放者,librator
char_1032_excu2,圣约送葬人,6,近卫,收割者,reaper
char_264_f12yin,山,6,近卫,斗士,fighter
char_4121_zuole,左乐,6,近卫,武者,musha
char_485_pallas,帕拉斯,6,近卫,教官,instructor
char_1051_headb2,怒潮凛冬,6,近卫,撼地者,hammer
char_263_skadi,斯卡蒂,6,近卫,无畏者,fearless
char_293_thorns,棘刺,6,近卫,领主,lord
char_4011_lessng,止颂,6,近卫,无畏者,fearless
char_017_huang,煌,6,近卫,强攻手,centurion
char_4064_mlynar,玛恩纳,6,近卫,解放者,librator
char_1026_gvial2,百炼嘉维尔,6,近卫,强攻手,centurion
char_1019_siege2,维娜·维多利亚,6,近卫,术战者,artsfghter
char_1014_nearl2,耀骑士临光,6,近卫,无畏者,fearless
char_4009_irene,艾丽妮,6,近卫,剑豪,sword
char_4098_vvana,薇薇安娜,6,近卫,术战者,artsfghter
char_4037_demetr,贝洛内,6,近卫,斗士,fighter
char_1050_chen3,赤刃明霄陈,6,近卫,术战者,artsfghter
char_4088_hodrer,赫德雷,6,近卫,重剑手,crusher
char_188_helage,赫拉格,6,近卫,武者,musha
char_2024_chyue,重岳,6,近卫,斗士,fighter
char_172_svrash,银灰,6,近卫,领主,lord
char_4116_blkkgt,锏,6,近卫,剑豪,sword
char_010_chen,陈,6,近卫,剑豪,sword
char_4010_etlchi,隐德来希,6,近卫,收割者,reaper
char_2026_yu,余,6,重装,本源铁卫,primprotector
char_4194_rmixer,信仰搅拌机,6,重装,哨戒铁卫,shotprotector
char_4039_horn,号角,6,重装,要塞,fortress
char_202_demkni,塞雷娅,6,重装,守护者,guardian
char_2014_nian,年,6,重装,铁卫,protector
char_4065_judge,斥罪,6,重装,不屈者,unyield
char_1044_hsgma2,斩业星熊,6,重装,驭法铁卫,artsprotector
char_136_hsguma,星熊,6,重装,铁卫,protector
char_4230_mcnist,机械师,6,重装,哨戒铁卫,shotprotector
char_416_zumama,森蚺,6,重装,决战者,duelist
char_311_mudrok,泥岩,6,重装,不屈者,unyield
char_1034_jesca2,涤火杰西卡,6,重装,哨戒铁卫,shotprotector
char_423_blemsh,瑕光,6,重装,守护者,guardian
char_2025_shu,黍,6,重装,守护者,guardian
char_4119_wanqin,万顷,5,先锋,执旗手,bearer
char_115_headbr,凛冬,5,先锋,尖兵,pioneer
char_1036_fang2,历阵锐枪芬,5,先锋,冲锋手,charger
char_476_blkngt,夜半,5,先锋,战术家,tactician
char_4052_surfer,寻澜,5,先锋,情报官,agent
char_102_texas,德克萨斯,5,先锋,尖兵,pioneer
char_497_ctable,晓歌,5,先锋,情报官,agent
char_4199_makiri,松桐,5,先锋,策士,counsellor
char_401_elysm,极境,5,先锋,执旗手,bearer
char_220_grani,格拉尼,5,先锋,冲锋手,charger
char_4147_mitm,渡桥,5,先锋,战术家,tactician
char_4023_rfalcn,红隼,5,先锋,尖兵,pioneer
char_261_sddrag,苇草,5,先锋,冲锋手,charger
char_4017_puzzle,谜图,5,先锋,情报官,agent
char_349_chiave,贾维,5,先锋,尖兵,pioneer
char_496_wildmn,野鬃,5,先锋,冲锋手,charger
char_488_buildr,青枳,5,先锋,尖兵,pioneer
char_4144_chilc,齐尔查克,5,先锋,情报官,agent
char_4224_turdus,乌啾,5,医疗,链愈师,chainhealer
char_345_folnic,亚叶,5,医疗,医师,physician
char_494_vendla,刺玫,5,医疗,咒愈师,incantationmedic
char_171_bldsk,华法琳,5,医疗,医师,physician
char_4114_harold,哈洛德,5,医疗,行医,wandermedic
char_402_tuye,图耶,5,医疗,医师,physician
char_4196_reckpr,录武官,5,医疗,医师,physician
char_275_breeze,微风,5,医疗,群愈师,ringhealer
char_4071_peper,明椒,5,医疗,链愈师,chainhealer
char_473_mberry,桑葚,5,医疗,行医,wandermedic
char_1024_hbisc2,濯尘芙蓉,5,医疗,咒愈师,incantationmedic
char_4163_rosesa,瑰盐,5,医疗,群愈师,ringhealer
char_128_plosis,白面鸮,5,医疗,群愈师,ringhealer
char_436_whispr,絮雨,5,医疗,疗养师,healer
char_4139_papyrs,莎草,5,医疗,链愈师,chainhealer
char_449_glider,蜜莓,5,医疗,行医,wandermedic
char_4173_nowell,诺威尔,5,医疗,疗养师,healer
char_108_silent,赫默,5,医疗,医师,physician
char_348_ceylon,锡兰,5,医疗,疗养师,healer
char_4222_taraxa,风絮,5,医疗,守望者,watchman
char_4198_christ,Miss.Christine,5,术师,本源术师,primcaster
char_297_hamoni,和弦,5,术师,秘术师,mystic
char_4031_liesel,复奏,5,术师,扩散术师,splashcaster
char_164_nightm,夜魔,5,术师,中坚术师,corecaster
char_166_skfire,天火,5,术师,扩散术师,splashcaster
char_341_sntlla,寒檀,5,术师,扩散术师,splashcaster
char_306_leizi,惊蛰,5,术师,链术师,chain
char_4110_delphn,戴菲恩,5,术师,秘术师,mystic
char_499_kaitou,折光,5,术师,本源术师,primcaster
char_135_halo,星源,5,术师,链术师,chain
char_4040_rockr,洛洛,5,术师,驭械术师,funnel
char_4081_warmy,温米,5,术师,本源术师,primcaster
char_1011_lava2,炎狱炎熔,5,术师,扩散术师,splashcaster
char_338_iris,爱丽丝,5,术师,秘术师,mystic
char_4164_tecno,特克诺,5,术师,塑灵术师,soulcaster
char_411_tomimi,特米米,5,术师,中坚术师,corecaster
char_4013_kjera,耶拉,5,术师,驭械术师,funnel
char_4054_malist,至简,5,术师,驭械术师,funnel
char_405_absin,苦艾,5,术师,中坚术师,corecaster
char_373_lionhd,莱恩哈特,5,术师,扩散术师,splashcaster
char_388_mint,薄绿,5,术师,阵法术师,phalanx
char_489_serum,蚀清,5,术师,轰击术师,blastcaster
char_344_beewax,蜜蜡,5,术师,阵法术师,phalanx
char_002_amiya,阿米娅,5,术师,中坚术师,corecaster
char_446_aroma,阿罗玛,5,术师,轰击术师,blastcaster
char_466_qanik,雪绒,5,术师,中坚术师,corecaster
char_455_nothin,乌有,5,特种,行商,merchant
char_4186_tmoris,八幡海铃,5,特种,伏击客,stalker
char_214_kafka,卡夫卡,5,特种,处决者,executor
char_4124_iana,双月,5,特种,傀儡师,dollkeeper
char_173_slchan,崖心,5,特种,钩索师,hookmaster
char_4105_almond,杏仁,5,特种,钩索师,hookmaster
char_243_waaifu,槐琥,5,特种,处决者,executor
char_215_mantic,狮蝎,5,特种,伏击客,stalker
char_4015_spuria,空构,5,特种,怪杰,geek
char_144_red,红,5,特种,处决者,executor
char_478_kirara,绮良,5,特种,伏击客,stalker
char_451_robin,罗宾,5,特种,陷阱师,traper
char_4183_mortis,若叶睦,5,特种,傀儡师,dollkeeper
char_4191_tippi,蒂比,5,特种,巡空者,skywalker
char_4155_talr,裁度,5,特种,行商,merchant
char_4036_forcer,见行者,5,特种,推击手,pusher
char_369_bena,贝娜,5,特种,傀儡师,dollkeeper
char_4171_wulfen,钼铅,5,特种,陷阱师,traper
char_4151_tinman,锡人,5,特种,炼金师,alchemist
char_383_snsant,雪雉,5,特种,钩索师,hookmaster
char_458_rfrost,霜华,5,特种,陷阱师,traper
char_4016_kazema,风丸,5,特种,傀儡师,dollkeeper
char_241_panda,食铁兽,5,特种,推击手,pusher
char_4104_coldst,冰酿,5,狙击,猎手,hunter
char_4203_kichi,吉星,5,狙击,散射手,reaperrange
char_365_aprl,四月,5,狙击,速射手,fastshot
char_4043_erato,埃拉托,5,狙击,攻城手,siegesniper
char_4213_skybx,天空盒,5,狙击,裂空炮手,skybreaker
char_346_aosta,奥斯塔,5,狙击,散射手,reaperrange
char_4014_lunacu,子月,5,狙击,神射手,longrange
char_158_milu,守林人,5,狙击,神射手,longrange
char_218_cuttle,安哲拉,5,狙击,神射手,longrange
char_1021_kroos2,寒芒克洛丝,5,狙击,速射手,fastshot
char_379_sesa,慑砂,5,狙击,炮手,aoesniper
char_4078_bdhkgt,截云,5,狙击,炮手,aoesniper
char_1027_greyy2,承曦格雷伊,5,狙击,投掷手,bombarder
char_145_prove,普罗旺斯,5,狙击,重射手,closerange
char_4177_brigid,水灯心,5,狙击,回环射手,loopshooter
char_367_swllow,灰喉,5,狙击,速射手,fastshot
char_363_toddi,熔泉,5,狙击,攻城手,siegesniper
char_4006_melnte,玫拉,5,狙击,重射手,closerange
char_204_platnm,白金,5,狙击,速射手,fastshot
char_4221_ju,矩,5,狙击,攻城手,siegesniper
char_129_bluep,蓝毒,5,狙击,速射手,fastshot
char_279_excu,送葬人,5,狙击,散射手,reaperrange
char_219_meteo,陨星,5,狙击,炮手,aoesniper
char_498_inside,隐现,5,狙击,速射手,fastshot
char_4211_snhunt,雪猎,5,狙击,猎手,hunter
char_4184_dolris,三角初华,5,辅助,吟游者,bard
char_4019_ncdeer,九色鹿,5,辅助,护佑者,blessing
char_4223_botany,伯塔尼,5,辅助,巫役,ritualist
char_4032_provs,但书,5,辅助,凝滞师,slower
char_4234_pedro,佩德洛,5,辅助,游击手,supportiveranger
char_4102_threye,凛视,5,辅助,巫役,ritualist
char_4162_cathy,凯瑟琳,5,辅助,工匠,craftsman
char_174_slbell,初雪,5,辅助,削弱者,underminer
char_492_quercu,夏栎,5,辅助,护佑者,blessing
char_4122_grabds,小满,5,辅助,凝滞师,slower
char_254_vodfox,巫恋,5,辅助,削弱者,underminer
char_433_windft,掠风,5,辅助,工匠,craftsman
char_1022_flwr2,撷英调香师,5,辅助,护佑者,blessing
char_343_tknogi,月禾,5,辅助,护佑者,blessing
char_326_glacus,格劳克斯,5,辅助,凝滞师,slower
char_242_otter,梅尔,5,辅助,召唤师,summoner
char_487_bobb,波卜,5,辅助,巫役,ritualist
char_4045_heidi,海蒂,5,辅助,吟游者,bard
char_4079_haini,海霓,5,辅助,削弱者,underminer
char_195_glassb,真理,5,辅助,凝滞师,slower
char_336_folivo,稀音,5,辅助,召唤师,summoner
char_101_sora,空,5,辅助,吟游者,bard
char_4172_xingzh,行箸,5,辅助,护佑者,blessing
char_4140_lasher,衡沙,5,辅助,召唤师,summoner
char_4178_alanna,阿兰娜,5,辅助,工匠,craftsman
char_4125_rdoc,医生,5,近卫,教官,instructor
char_394_hadiya,哈蒂娅,5,近卫,佣兵,mercenary
char_155_tiger,因陀罗,5,近卫,斗士,fighter
char_4131_odda,奥达,5,近卫,撼地者,hammer
char_4126_fuze,导火索,5,近卫,强攻手,centurion
char_356_broca,布洛卡,5,近卫,强攻手,centurion
char_143_ghost,幽灵鲨,5,近卫,强攻手,centurion
char_459_tachak,战车,5,近卫,剑豪,sword
char_140_whitew,拉普兰德,5,近卫,领主,lord
char_4166_varkis,摆渡人,5,近卫,强攻手,centurion
char_154_morgan,摩根,5,近卫,无畏者,fearless
char_294_ayer,断崖,5,近卫,领主,lord
char_274_astesi,星极,5,近卫,术战者,artsfghter
char_230_savage,暴行,5,近卫,强攻手,centurion
char_252_bibeak,柏喙,5,近卫,剑豪,sword
char_4066_highmo,海沫,5,近卫,收割者,reaper
char_1030_noirc2,火龙S黑角,5,近卫,武者,musha
char_131_flameb,炎客,5,近卫,无畏者,fearless
char_194_leto,烈夏,5,近卫,领主,lord
char_415_flint,燧石,5,近卫,斗士,fighter
char_4185_amoris,祐天寺若麦,5,近卫,撼地者,hammer
char_421_crow,羽毛笔,5,近卫,收割者,reaper
char_4187_graceb,聆音,5,近卫,本源近卫,primguard
char_106_franka,芙兰卡,5,近卫,无畏者,fearless
char_4106_bryota,苍苔,5,近卫,教官,instructor
char_4142_laios,莱欧斯,5,近卫,无畏者,fearless
char_308_swire,诗怀雅,5,近卫,教官,instructor
char_475_akafyu,赤冬,5,近卫,武者,musha
char_157_dagda,达格达,5,近卫,斗士,fighter
char_4083_chimes,铎铃,5,近卫,重剑手,crusher
char_333_sidero,铸铁,5,近卫,术战者,artsfghter
char_1049_catap2,雷狼龙S空爆,5,近卫,佣兵,mercenary
char_265_sophia,鞭刃,5,近卫,教官,instructor
char_486_takila,龙舌兰,5,近卫,解放者,librator
char_148_nearl,临光,5,重装,守护者,guardian
char_201_moeshd,可颂,5,重装,铁卫,protector
char_226_hmau,吽,5,重装,守护者,guardian
char_4214_cairn,响石,5,重装,本源铁卫,primprotector
char_4207_branch,折桠,5,重装,不屈者,unyield
char_325_bison,拜松,5,重装,铁卫,protector
char_4025_aprot2,暮落,5,重装,驭法铁卫,artsprotector
char_304_zebra,暴雨,5,重装,铁卫,protector
char_422_aurora,极光,5,重装,决战者,duelist
char_4143_sensi,森西,5,重装,守护者,guardian
char_464_cement,洋灰,5,重装,决战者,duelist
char_4137_udflow,深巡,5,重装,哨戒铁卫,shotprotector
char_4109_baslin,深律,5,重装,守护者,guardian
char_493_firwhl,火哨,5,重装,要塞,fortress
char_163_hpsts,火神,5,重装,不屈者,unyield
char_431_ashlok,灰毫,5,重装,要塞,fortress
char_378_asbest,石棉,5,重装,驭法铁卫,artsprotector
char_4148_philae,菲莱,5,重装,本源铁卫,primprotector
char_4225_tanya,裂响,5,重装,本源铁卫,primprotector
char_4047_pianst,车尔尼,5,重装,驭法铁卫,artsprotector
char_457_blitz,闪击,5,重装,哨戒铁卫,shotprotector
char_107_liskam,雷蛇,5,重装,哨戒铁卫,shotprotector
char_4208_wintim,冬时,4,先锋,情报官,agent
char_151_myrtle,桃金娘,4,先锋,执旗手,bearer
char_149_scave,清道夫,4,先锋,尖兵,pioneer
char_290_vigna,红豆,4,先锋,冲锋手,charger
char_198_blackd,讯使,4,先锋,尖兵,pioneer
char_452_bstalk,豆苗,4,先锋,战术家,tactician
char_187_ccheal,嘉维尔,4,医疗,医师,physician
char_117_myrrh,末药,4,医疗,医师,physician
char_385_finlpp,清流,4,医疗,疗养师,healer
char_298_susuro,苏苏洛,4,医疗,医师,physician
char_4041_chnut,褐果,4,医疗,行医,wandermedic
char_181_flower,调香师,4,医疗,群愈师,ringhealer
char_4051_akkord,协律,4,术师,轰击术师,blastcaster
char_328_cammou,卡达,4,术师,驭械术师,funnel
char_141_nights,夜烟,4,术师,中坚术师,corecaster
char_4004_pudd,布丁,4,术师,链术师,chain
char_253_greyy,格雷伊,4,术师,扩散术师,splashcaster
char_469_indigo,深靛,4,术师,秘术师,mystic
char_109_fmout,远山,4,术师,扩散术师,splashcaster
char_4165_ctrail,云迹,4,特种,巡空者,skywalker
char_355_ethan,伊桑,4,特种,伏击客,stalker
char_272_strong,孑,4,特种,行商,merchant
char_236_rope,暗索,4,特种,钩索师,hookmaster
char_237_gravel,砾,4,特种,处决者,executor
char_4107_vrdant,维荻,4,特种,傀儡师,dollkeeper
char_277_sqrrel,阿消,4,特种,推击手,pusher
char_302_glaze,安比尔,4,狙击,神射手,longrange
char_235_jesica,杰西卡,4,狙击,速射手,fastshot
char_440_pinecn,松果,4,狙击,散射手,reaperrange
char_133_mm,梅,4,狙击,速射手,fastshot
char_126_shotst,流星,4,狙击,速射手,fastshot
char_118_yuki,白雪,4,狙击,炮手,aoesniper
char_190_clour,红云,4,狙击,速射手,fastshot
char_4100_caper,跃跃,4,狙击,回环射手,loopshooter
char_366_acdrop,酸糖,4,狙击,重射手,closerange
char_4062_totter,铅踝,4,狙击,攻城手,siegesniper
char_183_skgoat,地灵,4,辅助,凝滞师,slower
char_258_podego,波登可,4,辅助,凝滞师,slower
char_110_deepcl,深海色,4,辅助,召唤师,summoner
char_484_robrta,罗比菈塔,4,辅助,工匠,craftsman
char_491_humus,休谟斯,4,近卫,收割者,reaper
char_301_cutter,刻刀,4,近卫,剑豪,sword
char_337_utage,宴,4,近卫,武者,musha
char_185_frncat,慕斯,4,近卫,术战者,artsfghter
char_159_peacok,断罪者,4,近卫,无畏者,fearless
char_130_doberm,杜宾,4,近卫,教官,instructor
char_347_jaksel,杰克,4,近卫,斗士,fighter
char_137_brownb,猎蜂,4,近卫,斗士,fighter
char_4063_quartz,石英,4,近卫,重剑手,crusher
char_289_gyuki,缠丸,4,近卫,无畏者,fearless
char_4067_lolxh,罗小黑,4,近卫,领主,lord
char_127_estell,艾丝黛尔,4,近卫,强攻手,centurion
char_271_spikes,芳汀,4,近卫,领主,lord
char_193_frostl,霜叶,4,近卫,领主,lord
char_445_wscoot,骋风,4,近卫,解放者,librator
char_196_sunbr,古米,4,重装,守护者,guardian
char_260_durnar,坚雷,4,重装,驭法铁卫,artsprotector
char_381_bubble,泡泡,4,重装,铁卫,protector
char_150_snakek,蛇屠箱,4,重装,铁卫,protector
char_199_yak,角峰,4,重装,铁卫,protector
char_4130_luton,露托,4,重装,不屈者,unyield
char_192_falco,翎羽,3,先锋,冲锋手,charger
char_123_fang,芬,3,先锋,尖兵,pioneer
char_240_wyvern,香草,3,先锋,尖兵,pioneer
char_212_ansel,安赛尔,3,医疗,医师,physician
char_120_hibisc,芙蓉,3,医疗,医师,physician
char_210_stward,史都华德,3,术师,中坚术师,corecaster
char_121_lava,炎熔,3,术师,扩散术师,splashcaster
char_124_kroos,克洛丝,3,狙击,速射手,fastshot
char_211_adnach,安德切尔,3,狙击,速射手,fastshot
char_282_catap,空爆,3,狙击,炮手,aoesniper
char_278_orchid,梓兰,3,辅助,凝滞师,slower
char_283_midn,月见夜,3,近卫,领主,lord
char_281_popka,泡普卡,3,近卫,强攻手,centurion
char_208_melan,玫兰莎,3,近卫,无畏者,fearless
char_209_ardign,卡缇,3,重装,铁卫,protector
char_284_spot,斑点,3,重装,守护者,guardian
char_122_beagle,米格鲁,3,重装,铁卫,protector
char_502_nblade,夜刀,2,先锋,尖兵,pioneer
char_009_12fce,12F,2,术师,扩散术师,splashcaster
char_501_durin,杜林,2,术师,中坚术师,corecaster
char_503_rang,巡林者,2,狙击,速射手,fastshot
char_500_noirc,黑角,2,重装,铁卫,protector
char_4188_confes,CONFESS-47,1,先锋,尖兵,pioneer
char_4215_buddy,罗德岛隐秘队,1,先锋,战术家,tactician
char_285_medic2,Lancet-2,1,医疗,医师,physician
char_4227_gallus,GALLUS²,1,术师,中坚术师,corecaster
char_376_therex,THRM-EX,1,特种,处决者,executor
char_4000_jnight,正义骑士号,1,狙击,速射手,fastshot
char_4077_palico,泰拉大陆调查团,1,狙击,投掷手,bombarder
char_4136_phonor,PhonoR-0,1,辅助,巫役,ritualist
char_4091_ulika,U-Official,1,辅助,吟游者,bard
char_286_cast3,Castle-3,1,近卫,无畏者,fearless
char_4093_frston,Friston-3,1,重装,铁卫,protector
